"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('4', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('4', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('4', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('5', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('5', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
"(('4', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('4', 'A'))","('A', 0)"
"(('3', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('4', 'A'))","('A', 0)"
"(('2', 'A'), ('5', ''))","('', 0)"
"(('5', 'A'), ('1', ''))","('', 0)"
"(('3', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('2', 'A'))","('A', 0)"
"(('1', 'A'), ('3', ''))","('', 0)"
"(('1', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('5', 'A'))","('A', 0)"
"(('4', 'A'), ('5', ''))","('', 0)"
"(('4', 'A'), ('3', ''))","('', 0)"
"(('2', 'A'), ('5', 'A'))","('A', 0)"
"(('3', 'A'), ('5', 'A'))","('A', 0)"
"(('1', 'A'), ('5', ''))","('', 0)"
"(('2', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('4', ''))","('', 0)"
"(('2', 'A'), ('3', ''))","('', 0)"
"(('3', 'A'), ('4', ''))","('', 0)"
"(('1', 'A'), ('3', 'A'))","('A', 0)"
"(('3', 'A'), ('3', ''))","('', 0)"
"(('4', 'A'), ('2', ''))","('', 0)"
"(('2', 'A'), ('1', ''))","('', 0)"
"(('5', 'A'), ('2', ''))","('', 0)"
"(('1', 'A'), ('1', ''))","('', 0)"
"(('1', 'A'), ('4', 'A'))","('A', 0)"
